name	criterion	diff_prop	variability	origin	flag
Wdr25	1.82929495343273	-0.219348279201996	0.0143780831497396	P	FLAG_significance
Gpr1	1.71214733917441	-0.299457563570828	0.0305906216813956	P	NO_FLAG
Tpx2	1.69048213274512	-0.214526463341843	0.0161042526874247	P	NO_FLAG
Tgfb1i1	1.53660477538886	0.215319542393116	0.0196355259789696	M	NO_FLAG
Nhlrc1	1.52462432516384	-0.145413379239006	0.00909668266892992	P	FLAG_consistency
Ankrd34c	1.51725418139695	-0.241084625422328	0.0252477304147977	P	NO_FLAG
Fam13a	1.45585325057206	0.117914051975136	0.00655988047473146	M	FLAG_consistency
Wars	1.40649061812241	-0.153005319498359	0.0118342129802815	P	FLAG_consistency
Gm20715	1.38168561933145	0.220107163915873	0.0253775610359679	M	NO_FLAG
Slc25a29	1.34196918659379	-0.149106600784133	0.0123454990759046	P	FLAG_consistency
Bag3	1.29598502264478	0.168317028118709	0.0168677107014151	M	NO_FLAG
Gm26202	1.28646656173487	0.177843959155418	0.0191109040200172	M	NO_FLAG
Tmem209	1.28501830895648	0.121161519870122	0.00889018490837765	M	FLAG_consistency
Gm20560	1.21038706728825	0.161695790971049	0.0178463284185009	M	NO_FLAG
Zfp773	1.10278026113689	0.1657597187658	0.0225933190110296	M	NO_FLAG
Gm12784	1.08230001814429	0.169495617448156	0.0245257115013107	M	NO_FLAG
Col22a1	1.05677050205681	0.181855411120183	0.0296135922112606	M	NO_FLAG
Pcdhga6	1.04992345234269	0.110354119065084	0.0110474443605136	M	NO_FLAG
Bdkrb1	1.04499715962818	-0.177684145020549	0.0289112676171673	P	NO_FLAG
Edn3	1.04306301084142	0.138622096584531	0.0176621608937197	M	NO_FLAG
Vps50	1.04158386993242	0.0971883537239082	0.00870642693668906	M	NO_FLAG
Acy3	1.02745951961695	-0.180452554334313	0.0308458418257527	P	NO_FLAG
Zfp418	1.02160028610283	0.133483438940857	0.0170723286291605	M	NO_FLAG
Abca4	1.01234228067773	-0.118237731398945	0.013641352315162	P	NO_FLAG
Tnfrsf23	1.01126963648447	0.167550828522206	0.0274510666395392	M	NO_FLAG
Ltv1	1.00515565187441	0.0874790136093188	0.00757427583336032	M	NO_FLAG
Gm17195	1.00102404107568	0.200747780240538	0.0402172608431557	M	NO_FLAG
Gm44907	0.973328648592224	-0.151525818607208	0.0242356272888814	P	NO_FLAG
Kazald1	0.963042435648799	-0.139051741957172	0.0208478857757666	P	NO_FLAG
Zfp882	0.950491226418888	-0.130048216311666	0.0187202901235769	P	NO_FLAG
Zfp831	0.942736165531935	0.117897185224331	0.0156396322605262	M	NO_FLAG
Pcdhb12	0.920776929167115	0.141998871227411	0.023782687312664	M	NO_FLAG
Ppp2r5c	0.91879257139013	-0.0597002960076464	0.00422199795449047	P	NO_FLAG
Sept1	0.91036515656852	0.139437259976352	0.0234599145457527	M	NO_FLAG
Fam161a	0.909446715191518	0.0988379994324199	0.0118111823705685	M	NO_FLAG
Gm16759	0.902922972699562	0.14843567507193	0.0270255896596015	M	NO_FLAG
